index,name,issue,similarity,keyword,equipment,duplicateCount
"196","Deslizamiento escapular en pared","DUPLICATE_TAGS","","","",""
"200","Deslizamiento escapular con activación del serrato","DUPLICATE_TAGS","","","",""
"203","Empuje escapular acostado","DUPLICATE_TAGS","","","",""
"205","Rotación externa de hombro con banda","DUPLICATE_TAGS","","","",""
"206","Deslizamientos de hombros contra pared","DUPLICATE_TAGS","","","",""
"213","Extensión de hombros con banda","DUPLICATE_TAGS","","","",""
"218","Puente con foco en isquiotibiales","DUPLICATE_TAGS","","","",""
"221","Sentadilla con talones elevados","DUPLICATE_TAGS","","","",""
"293","Puente alternando piernas","DUPLICATE_TAGS","","","",""
"302","Puente de glúteos controlado","DUPLICATE_TAGS","","","",""
"37","Elevación de talones","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"292","Elevación de talones","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"48","Burpees","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"282","Burpees","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"53","Turkish get-up","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"247","Turkish Get Up","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"65","Gato-vaca","DUPLICATE_NAME_DIFFERENT_DATA","","","","3"
"237","Gato vaca","DUPLICATE_NAME_DIFFERENT_DATA","","","","3"
"334","Gato-vaca","DUPLICATE_NAME_DIFFERENT_DATA","","","","3"
"75","Estiramiento de hombros","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"153","Estiramiento de hombros","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"78","Estiramiento de espalda","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"152","Estiramiento de espalda","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"80","Postura del niño","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"109","Postura del Niño","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"86","Estiramiento de Glúteos acostado","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"111","Estiramiento de Glúteos acostado","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"92","Rotación de Cuello","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"562","Rotación de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"104","Estiramiento de Isquiotibiales sentado","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"107","Estiramiento de Isquiotibiales sentado","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"145","Rotaciones de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"189","Rotaciones de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"147","Caminata de oso","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"318","Caminata de oso","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"220","Sentadilla contra pared","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"268","Sentadilla contra pared","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"242","Plancha lateral","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"447","Plancha lateral","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"257","Shuffle reactivo","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"261","Shuffle reactivo","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"279","Sprint en pendiente","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"495","Sprint en pendiente","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"296","Mountain climber lento","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"486","Mountain climber lento","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"387","Sentadilla sissy","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"653","Sentadilla sissy","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"471","Step up lateral","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"534","Step-up lateral","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"591","Relajación progresiva de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"755","Relajación progresiva de cuello","DUPLICATE_NAME_DIFFERENT_DATA","","","","2"
"7","Pull-over","GENERIC_DESCRIPTION","","","",""
"20","Face pull","GENERIC_DESCRIPTION","","","",""
"27","Extensiones en polea","GENERIC_DESCRIPTION","","","",""
"117","Salto al cajón","LOW_NAME_DESCRIPTION_RELATION","0.048","","",""
"118","Salto con peso corporal","LOW_NAME_DESCRIPTION_RELATION","0.056","","",""
"119","Lunges saltados","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"120","Clapping push-ups","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"121","Broad jump","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"122","Tuck jump","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"124","Skater jumps","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"127","Pájaro en bosu","LOW_NAME_DESCRIPTION_RELATION","0.053","","",""
"128","Single leg deadlift","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"140","Jumping jacks","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"142","Arm circles","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"143","Leg swings","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"144","Trotar en el lugar","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"150","Caminata lenta","GENERIC_DESCRIPTION","","","",""
"151","Respiración diafragmática","GENERIC_DESCRIPTION","","","",""
"152","Estiramiento de espalda","GENERIC_DESCRIPTION","","","",""
"153","Estiramiento de hombros","GENERIC_DESCRIPTION","","","",""
"154","Estiramiento de piernas","GENERIC_DESCRIPTION","","","",""
"155","Foam roller de espalda","GENERIC_DESCRIPTION","","","",""
"156","Shavasana","GENERIC_DESCRIPTION","","","",""
"157","Meditación","GENERIC_DESCRIPTION","","","",""
"158","Vacío abdominal","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"159","Kegel","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"160","Respiración costal","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"161","Activación glútea","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"163","Masaje con pelota","GENERIC_DESCRIPTION","","","",""
"164","Rotaciones de cadera en 90/90","GENERIC_DESCRIPTION","","","",""
"184","Retracción de mentón","GENERIC_DESCRIPTION","","","",""
"195","Rechazo escapular","LOW_NAME_DESCRIPTION_RELATION","0.059","","",""
"201","Depresión escapular","LOW_NAME_DESCRIPTION_RELATION","0.056","","",""
"202","Rotaciones escapulares","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"219","Estocada isométrica","LOW_NAME_DESCRIPTION_RELATION","0.059","","",""
"236","Perro ave","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"237","Gato vaca","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"242","Plancha lateral","GENERIC_DESCRIPTION","","","",""
"245","Tire Flip","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"249","Sprint multidireccional","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"254","Cone Shuttle","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"255","Power Clean","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"256","Salto reactivo","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"257","Shuffle reactivo","LOW_NAME_DESCRIPTION_RELATION","0.048","","",""
"258","Sprint reactivo","LOW_NAME_DESCRIPTION_RELATION","0.063","","",""
"261","Shuffle reactivo","LOW_NAME_DESCRIPTION_RELATION","0.056","","",""
"262","Step Jacks","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"263","Marcha con rodillas elevadas","LOW_NAME_DESCRIPTION_RELATION","0.056","","",""
"264","Medio burpee","LOW_NAME_DESCRIPTION_RELATION","0.05","","",""
"267","Plancha con paso lateral","LOW_NAME_DESCRIPTION_RELATION","0.059","","",""
"270","Subidas al cajón","LOW_NAME_DESCRIPTION_RELATION","0.071","","",""
"274","Remo en plancha","LOW_NAME_DESCRIPTION_RELATION","0.05","","",""
"275","Swing con kettlebell","LOW_NAME_DESCRIPTION_RELATION","0.059","","",""
"280","Thruster con peso","LOW_NAME_DESCRIPTION_RELATION","0.059","","",""
"282","Burpees","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"285","Skipping HIIT","LOW_NAME_DESCRIPTION_RELATION","0","","",""
"286","Saltos laterales","LOW_NAME_DESCRIPTION_RELATION","0.059","","",""
"289","Saltos al cajón","LOW_NAME_DESCRIPTION_RELATION","0.053","","",""
